index	original	background	difference
510	4276	2279	1997
511	4064	2036	2028
512	4294	2281	2013
513	4424	2406	2018
514	4276	2275	2001
515	4278	2237	2041
516	4392	2312	2080
517	4349	2282	2067
518	4182	2160	2022
519	4237	2159	2078
520	4449	2387	2062
521	4351	2383	1968
522	4214	2237	1977
523	4226	2199	2027
524	4257	2307	1950
525	4435	2456	1979
526	4277	2197	2080
527	4049	1973	2076
528	4328	2235	2093
529	4429	2369	2060
530	4183	2143	2040
531	3997	1942	2055
532	4188	2162	2026
533	4327	2313	2014
534	4209	2173	2036
535	4869	2828	2041
536	4735	2717	2018
537	4429	2375	2054
538	4189	2168	2021
539	4104	2028	2076
540	4208	2178	2030
541	4395	2370	2025
542	4166	2162	2004
543	3967	1950	2017
544	4241	2234	2007
545	4436	2429	2007
546	4149	2188	1961
547	4003	2073	1930
548	4287	2312	1975
549	4669	2563	2106
550	4306	2222	2084
551	4011	2000	2011
552	4618	2520	2098
553	4616	2522	2094
554	4326	2302	2024
555	4116	2104	2012
556	4249	2268	1981
557	4306	2289	2017
558	4072	2069	2003
559	4044	2025	2019
560	4224	2214	2010
561	4563	2544	2019
562	4244	2238	2006
563	3981	1980	2001
564	4289	2236	2053
565	4436	2398	2038
566	4234	2184	2050
567	4049	2073	1976
568	4261	2285	1976
569	4397	2371	2026
570	4126	2136	1990
571	3978	1980	1998
572	4239	2241	1998
573	4321	2338	1983
574	4127	2131	1996
575	4002	1973	2029
576	4338	2202	2136
577	4372	2354	2018
578	4214	2198	2016
579	4147	2127	2020
580	4401	2321	2080
581	4432	2396	2036
582	4050	2157	1893
583	3956	1947	2009
584	4203	2172	2031
585	4253	2245	2008
586	4236	2208	2028
587	4079	2082	1997
588	4333	2260	2073
589	4472	2363	2109
590	4306	2189	2117
591	4008	2024	1984
592	4097	2151	1946
593	4308	2296	2012
594	4068	2036	2032
595	3999	1940	2059
596	4173	2161	2012
597	4435	2336	2099
598	4418	2267	2151
599	4119	2058	2061
600	4253	2229	2024
601	4356	2317	2039
602	4201	2196	2005
603	4108	2083	2025
604	4265	2193	2072
605	4290	2260	2030
606	4145	2101	2044
607	4088	1994	2094
608	4344	2273	2071
609	4359	2294	2065
610	4225	2141	2084
611	4152	2079	2073
612	4298	2242	2056
613	4373	2313	2060
614	4313	2229	2084
615	4128	2064	2064
616	4299	2240	2059
617	4463	2361	2102
618	4209	2113	2096
619	4044	2028	2016
620	4546	2443	2103
621	4515	2439	2076
622	4212	2189	2023
623	4115	2065	2050
624	4254	2217	2037
625	4379	2315	2064
626	4279	2175	2104
627	4146	2054	2092
628	4417	2311	2106
629	4456	2363	2093
630	4244	2176	2068
631	4073	2014	2059
632	4378	2250	2128
633	4584	2414	2170
634	4536	2380	2156
635	4246	2148	2098
636	4501	2372	2129
637	4534	2359	2175
638	4326	2174	2152
639	4173	2036	2137
640	4318	2214	2104
641	4417	2264	2153
642	4206	2039	2167
643	4181	2004	2177
644	4324	2186	2138
645	4542	2322	2220
646	4631	2373	2258
647	4459	2205	2254
648	4555	2321	2234
649	4582	2368	2214
650	4246	2042	2204
651	4159	1938	2221
652	4505	2300	2205
653	4627	2407	2220
654	4394	2197	2197
655	4200	2037	2163
656	4410	2181	2229
657	4520	2287	2233
658	4403	2169	2234
659	4171	1977	2194
660	4320	2136	2184
661	4582	2392	2190
662	4429	2214	2215
663	4134	1978	2156
664	4242	2122	2120
665	4423	2256	2167
666	4116	2066	2050
667	4108	2019	2089
668	4427	2229	2198
669	4500	2270	2230
670	4368	2097	2271
671	4236	1977	2259
672	4473	2234	2239
673	4648	2385	2263
674	4505	2258	2247
675	4382	2093	2289
676	4527	2204	2323
677	4534	2270	2264
678	4385	2115	2270
679	4394	2087	2307
680	4557	2237	2320
681	4482	2239	2243
682	4434	2148	2286
683	4281	1994	2287
684	4604	2302	2302
685	4773	2456	2317
686	4481	2169	2312
687	4363	2069	2294
688	4451	2219	2232
689	4606	2317	2289
690	4539	2189	2350
691	4390	2089	2301
692	4570	2251	2319
693	4747	2386	2361
694	4465	2103	2362
695	4355	2007	2348
696	4595	2159	2436
697	4640	2215	2425
698	4471	2130	2341
699	4401	2041	2360
700	4960	2502	2458
701	4888	2479	2409
702	4508	2170	2338
703	4397	2041	2356
704	4773	2369	2404
705	4805	2435	2370
706	4655	2281	2374
707	4394	2064	2330
708	4534	2237	2297
709	4732	2378	2354
710	4465	2112	2353
711	4413	1996	2417
712	4763	2353	2410
713	4876	2488	2388
714	4469	2108	2361
715	4417	2022	2395
716	4751	2301	2450
717	4819	2382	2437
718	4688	2246	2442
719	4551	2076	2475
720	4593	2193	2400
721	4703	2297	2406
722	4748	2288	2460
723	4566	2101	2465
724	4750	2248	2502
725	4922	2430	2492
726	4706	2209	2497
727	4559	2034	2525
728	4709	2197	2512
729	4759	2290	2469
730	4602	2152	2450
731	4464	2002	2462
732	4974	2428	2546
733	5046	2472	2574
734	4823	2216	2607
735	4658	2097	2561
736	4892	2303	2589
737	4909	2366	2543
738	4790	2232	2558
739	4617	2096	2521
740	5002	2402	2600
741	5073	2465	2608
742	4722	2136	2586
743	4622	2003	2619
744	4899	2263	2636
745	4944	2346	2598
746	4869	2237	2632
747	4689	2053	2636
748	4879	2230	2649
749	5012	2330	2682
750	4804	2158	2646
751	4681	2079	2602
752	4892	2301	2591
753	4963	2350	2613
754	4743	2113	2630
755	4575	1929	2646
756	4921	2268	2653
757	5125	2462	2663
758	4860	2261	2599
759	4688	2077	2611
760	4970	2230	2740
761	5147	2365	2782
762	4883	2155	2728
763	4810	2057	2753
764	5010	2251	2759
765	5104	2310	2794
766	4943	2110	2833
767	4903	2012	2891
768	5243	2357	2886
769	5306	2476	2830
770	4945	2157	2788
771	4909	2061	2848
772	5070	2235	2835
773	5198	2364	2834
774	4977	2176	2801
775	4822	2017	2805
776	5533	2673	2860
777	5536	2648	2888
778	5071	2183	2888
779	5030	2088	2942
780	5241	2334	2907
781	5452	2479	2973
782	5277	2263	3014
783	5047	2054	2993
784	5086	2209	2877
785	5067	2264	2803
786	5251	2237	3014
787	5238	2095	3143
788	5339	2268	3071
789	5314	2311	3003
790	5084	2060	3024
791	5001	1961	3040
792	5380	2306	3074
793	5698	2531	3167
794	5357	2215	3142
795	5077	1987	3090
796	5318	2278	3040
797	5379	2364	3015
798	5190	2086	3104
799	5354	2136	3218
800	5526	2349	3177
801	5471	2380	3091
802	5269	2158	3111
803	5100	2017	3083
804	5399	2271	3128
805	5536	2389	3147
806	5351	2143	3208
