index	original	background	difference
713	4424	2488	1936
714	4053	2108	1945
715	3959	2022	1937
716	4265	2301	1964
717	4349	2382	1967
718	4205	2246	1959
719	4054	2076	1978
720	4093	2193	1900
721	4265	2297	1968
722	4334	2288	2046
723	4129	2101	2028
724	4277	2248	2029
725	4394	2430	1964
726	4150	2209	1941
727	4041	2034	2007
728	4250	2197	2053
729	4292	2290	2002
730	4150	2152	1998
731	3994	2002	1992
732	4411	2428	1983
733	4477	2472	2005
734	4260	2216	2044
735	4174	2097	2077
736	4392	2303	2089
737	4468	2366	2102
738	4336	2232	2104
739	4185	2096	2089
740	4542	2402	2140
741	4561	2465	2096
742	4213	2136	2077
743	4061	2003	2058
744	4364	2263	2101
745	4449	2346	2103
746	4339	2237	2102
747	4199	2053	2146
748	4408	2230	2178
749	4484	2330	2154
750	4293	2158	2135
751	4180	2079	2101
752	4371	2301	2070
753	4401	2350	2051
754	4209	2113	2096
755	4033	1929	2104
756	4385	2268	2117
757	4696	2462	2234
758	4427	2261	2166
759	4234	2077	2157
760	4444	2230	2214
761	4606	2365	2241
762	4365	2155	2210
763	4339	2057	2282
764	4539	2251	2288
765	4627	2310	2317
766	4400	2110	2290
767	4310	2012	2298
768	4737	2357	2380
769	4809	2476	2333
770	4414	2157	2257
771	4348	2061	2287
772	4495	2235	2260
773	4689	2364	2325
774	4509	2176	2333
775	4381	2017	2364
776	5016	2673	2343
777	5068	2648	2420
778	4575	2183	2392
779	4407	2088	2319
780	4741	2334	2407
781	4976	2479	2497
782	4696	2263	2433
783	4457	2054	2403
784	4644	2209	2435
785	4673	2264	2409
786	4725	2237	2488
787	4544	2095	2449
788	4713	2268	2445
789	4828	2311	2517
790	4578	2060	2518
791	4508	1961	2547
792	4844	2306	2538
793	5165	2531	2634
794	4832	2215	2617
795	4540	1987	2553
796	4800	2278	2522
797	4863	2364	2499
798	4625	2086	2539
799	4756	2136	2620
800	4947	2349	2598
801	4886	2380	2506
802	4704	2158	2546
803	4618	2017	2601
804	4865	2271	2594
805	5029	2389	2640
806	4799	2143	2656
807	4680	2025	2655
808	5114	2376	2738
809	5196	2443	2753
810	5013	2247	2766
811	5008	2228	2780
812	5099	2383	2716
813	5209	2444	2765
814	5073	2350	2723
815	4923	2158	2765
816	5181	2439	2742
817	5158	2442	2716
818	4989	2182	2807
819	4969	2140	2829
820	5102	2294	2808
821	5146	2343	2803
822	5266	2424	2842
823	5101	2264	2837
824	5060	2291	2769
825	5169	2317	2852
826	5048	2179	2869
827	5060	2162	2898
828	5308	2371	2937
829	5448	2492	2956
830	5008	2187	2821
831	4928	2055	2873
832	5208	2231	2977
833	5232	2336	2896
834	5025	2182	2843
835	5004	2062	2942
836	5393	2396	2997
837	5448	2479	2969
838	5091	2170	2921
839	5020	2047	2973
840	5358	2303	3055
841	5458	2346	3112
842	5193	2140	3053
843	4992	1993	2999
844	5297	2269	3028
845	5673	2529	3144
846	5367	2288	3079
847	5185	2114	3071
848	5473	2279	3194
849	5532	2333	3199
850	5445	2247	3198
851	5441	2189	3252
852	5480	2294	3186
853	5619	2402	3217
854	5427	2237	3190
855	5267	2063	3204
856	5455	2313	3142
857	5543	2366	3177
858	5421	2193	3228
859	5284	2015	3269
860	5478	2241	3237
861	5650	2361	3289
862	5501	2174	3327
863	5323	2015	3308
864	5476	2192	3284
865	5685	2400	3285
866	5580	2254	3326
867	5427	2048	3379
868	5581	2213	3368
869	5855	2423	3432
870	5717	2277	3440
871	5453	2055	3398
872	5576	2203	3373
873	5749	2304	3445
874	5520	2158	3362
875	5471	2098	3373
876	5720	2276	3444
877	5838	2378	3460
878	5665	2197	3468
879	5525	2065	3460
880	5753	2272	3481
881	5869	2375	3494
882	5831	2259	3572
883	5603	2057	3546
884	5759	2274	3485
885	5856	2417	3439
886	5729	2185	3544
887	5657	2050	3607
888	5699	2152	3547
889	5763	2246	3517
890	5974	2316	3658
891	5850	2163	3687
892	5993	2285	3708
893	6156	2383	3773
894	5914	2217	3697
895	5871	2105	3766
896	6133	2267	3866
897	6207	2295	3912
898	6127	2244	3883
899	5886	2086	3800
900	6052	2261	3791
901	6212	2308	3904
902	6061	2185	3876
903	5949	2126	3823
904	6290	2394	3896
905	6244	2359	3885
906	6037	2196	3841
907	5842	2045	3797
908	6199	2319	3880
909	6392	2477	3915
910	6039	2189	3850
911	5861	1983	3878
912	6148	2174	3974
913	6367	2309	4058
914	6180	2166	4014
915	6010	2006	4004
916	6212	2232	3980
917	6433	2399	4034
918	6285	2176	4109
919	6224	2078	4146
920	6353	2253	4100
921	6334	2339	3995
922	6138	2146	3992
923	6074	1959	4115
924	6228	2106	4122
925	6405	2306	4099
926	6191	2138	4053
927	6162	2014	4148
928	6441	2251	4190
929	6628	2423	4205
930	6407	2203	4204
931	6174	2053	4121
932	6391	2252	4139
933	6648	2448	4200
934	6426	2220	4206
935	6185	1982	4203
936	6435	2177	4258
937	6554	2313	4241
938	6357	2104	4253
939	6746	2395	4351
940	6800	2479	4321
941	6988	2596	4392
942	6497	2206	4291
943	6272	1908	4364
944	6618	2213	4405
945	6758	2408	4350
946	6468	2194	4274
947	6470	2101	4369
948	6582	2264	4318
949	6720	2379	4341
950	6745	2338	4407
951	6564	2207	4357
952	6552	2303	4249
953	6655	2359	4296
954	6612	2210	4402
955	6641	2140	4501
956	6749	2335	4414
957	7073	2619	4454
958	6633	2238	4395
959	6511	2082	4429
960	6781	2326	4455
961	6792	2406	4386
962	6692	2281	4411
963	6786	2307	4479
964	7085	2615	4470
965	6935	2444	4491
966	6518	2087	4431
967	6495	2036	4459
968	6876	2373	4503
969	6870	2373	4497
970	6606	2167	4439
971	6519	2085	4434
972	6613	2162	4451
973	6824	2327	4497
974	6829	2229	4600
975	6683	2064	4619
976	6851	2278	4573
977	6929	2298	4631
978	6718	2115	4603
979	6661	2122	4539
980	6840	2330	4510
981	6987	2385	4602
982	6768	2166	4602
983	6743	2082	4661
984	6961	2324	4637
985	7081	2351	4730
986	6995	2240	4755
987	6842	2102	4740
988	7033	2282	4751
989	7025	2368	4657
990	6733	2125	4608
991	6660	2029	4631
992	6922	2332	4590
993	7060	2435	4625
994	6871	2174	4697
995	6633	2026	4607
996	6870	2292	4578
997	7050	2364	4686
998	6772	2148	4624
999	6727	2148	4579
1000	6837	2266	4571
1001	6886	2289	4597
1002	6767	2129	4638
1003	6671	2008	4663
1004	6978	2309	4669
1005	7027	2390	4637
1006	6771	2123	4648
1007	6718	2027	4691
1008	6926	2274	4652
1009	7025	2405	4620
1010	7154	2462	4692
1011	6849	2244	4605
1012	6803	2226	4577
1013	7186	2543	4643
1014	6912	2250	4662
1015	6727	2041	4686
1016	6913	2255	4658
1017	6975	2340	4635
1018	6944	2206	4738
1019	6723	2031	4692
1020	7025	2273	4752
1021	7192	2397	4795
1022	7194	2303	4891
1023	7187	2200	4987
1024	7185	2305	4880
