index	original	background	difference
407	5598	2211	3387
408	5616	2285	3331
409	5512	2216	3296
410	5422	2073	3349
411	5476	2121	3355
412	5597	2209	3388
413	5666	2246	3420
414	5666	2190	3476
415	5527	2111	3416
416	5647	2255	3392
417	5545	2255	3290
418	5407	2093	3314
419	5365	2011	3354
420	5540	2126	3414
421	5522	2151	3371
422	5380	2083	3297
423	5684	2287	3397
424	5722	2313	3409
425	5695	2305	3390
426	5508	2060	3448
427	5429	1955	3474
428	5658	2199	3459
429	6012	2506	3506
430	5653	2261	3392
431	5500	2116	3384
432	5688	2306	3382
433	5884	2413	3471
434	5632	2174	3458
435	5461	2011	3450
436	5810	2298	3512
437	5766	2382	3384
438	5489	2126	3363
439	5388	2036	3352
440	5687	2277	3410
441	5695	2283	3412
442	5398	2021	3377
443	5534	2041	3493
444	5659	2240	3419
445	5775	2400	3375
446	5590	2214	3376
447	5435	2083	3352
448	5777	2331	3446
449	5932	2441	3491
450	5801	2258	3543
451	5528	2040	3488
452	5661	2208	3453
453	5738	2325	3413
454	5636	2178	3458
455	5492	2077	3415
456	5599	2235	3364
457	5826	2393	3433
458	5582	2170	3412
459	5572	2079	3493
460	5814	2340	3474
461	5806	2392	3414
462	5667	2230	3437
463	5417	1990	3427
464	5573	2155	3418
465	5749	2304	3445
466	5489	2071	3418
467	5466	1980	3486
468	5720	2246	3474
469	5930	2450	3480
470	5828	2344	3484
471	5520	2082	3438
472	5629	2211	3418
473	5877	2408	3469
474	5714	2226	3488
475	5417	1984	3433
476	5589	2156	3433
477	5749	2335	3414
478	5734	2212	3522
479	5451	2002	3449
480	5727	2247	3480
481	5877	2410	3467
482	5795	2347	3448
483	5615	2140	3475
484	5741	2247	3494
485	5720	2300	3420
486	5604	2144	3460
487	5381	1942	3439
488	5587	2208	3379
489	5738	2347	3391
490	5521	2082	3439
491	5421	1955	3466
492	5703	2259	3444
493	5865	2397	3468
494	5641	2161	3480
495	5672	2135	3537
496	5851	2339	3512
497	5826	2313	3513
498	5614	2131	3483
499	5434	1967	3467
500	5632	2202	3430
501	5774	2386	3388
502	5524	2139	3385
503	5472	2037	3435
504	5716	2264	3452
505	5826	2324	3502
506	5766	2251	3515
507	5551	2113	3438
508	5843	2380	3463
509	6083	2516	3567
510	5741	2279	3462
511	5576	2036	3540
512	5782	2281	3501
513	5842	2406	3436
514	5760	2275	3485
515	5835	2237	3598
516	5854	2312	3542
517	5749	2282	3467
518	5650	2160	3490
519	5726	2159	3567
520	5890	2387	3503
521	5834	2383	3451
522	5666	2237	3429
523	5715	2199	3516
524	5755	2307	3448
525	5920	2456	3464
526	5673	2197	3476
527	5405	1973	3432
528	5810	2235	3575
529	5899	2369	3530
530	5600	2143	3457
531	5456	1942	3514
532	5659	2162	3497
533	5787	2313	3474
534	5638	2173	3465
535	6338	2828	3510
536	6215	2717	3498
537	5924	2375	3549
538	5686	2168	3518
539	5506	2028	3478
540	5573	2178	3395
541	5783	2370	3413
542	5630	2162	3468
543	5383	1950	3433
544	5732	2234	3498
545	5876	2429	3447
546	5653	2188	3465
